LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,VARIANCE_NEAR_DIST,MEDIAN_NEAR_DIST
E01004983,0.102372632,0.031052364,0.219631589,0.007220977,0.079403287
E01004984,0.078395048,0.030801399,0.154225513,0.002828828,0.06427664
E01004985,0.482783492,0.069555873,0.676388452,0.077454531,0.592594822
E01004986,0.090949408,0.036264737,0.144703103,0.00279524,0.091414897
E01004987,0.133358718,0.084066007,0.248828664,0.006031929,0.1002701
E01004988,0.077866416,0.035534046,0.141922614,0.002160679,0.067004503
E01004989,0.072986223,0.036134179,0.155177112,0.003172226,0.0503168
E01004990,0.075396135,0.067532519,0.080564678,3.54931E-05,0.076743673
E01004991,0.130894865,0.08847086,0.179067308,0.001765053,0.128020646
E01004992,0.250570286,0.105162863,0.498259046,0.029818044,0.199429618
E01004993,0.120491629,0.030031582,0.198632323,0.004798407,0.126651305
E01004994,0.247633115,0.070381809,0.348985419,0.017146228,0.285582616
E01004995,0.211589055,0.15874,0.252998961,0.002214738,0.217308629
E01004996,0.048780248,0.016643356,0.06471253,0.000479229,0.056882554
E01004997,0.120708403,0.02629165,0.259445645,0.010064224,0.098548158
E01004998,0.076105317,0.027652403,0.171051822,0.004264302,0.052858521
E01004999,0.371209164,0.034828077,0.719391002,0.07905399,0.365308788
E01005000,0.138620535,0.026230653,0.188228825,0.005690399,0.170011331
E01005001,0.087115113,0.042047619,0.149254426,0.00224303,0.078579203
E01005002,0.055390373,0.035136802,0.092598078,0.000721404,0.046913306
E01005003,0.046964434,0.004990365,0.129179229,0.003308893,0.026844072
E01005004,0.072148398,0.011827293,0.103710025,0.00168575,0.086528137
E01005005,0.304569487,0.092787066,0.6872888,0.073186107,0.219101042
E01005006,0.088656461,0.018552142,0.148253887,0.002841471,0.093909907
E01005007,0.180077729,0.057194935,0.487939263,0.042359986,0.087588359
E01005008,0.108869164,0.045220833,0.165581829,0.002658772,0.112336996
E01005009,0.113563765,0.046482539,0.274220913,0.011572473,0.066775804
E01005010,0.067531935,0.024780875,0.120439984,0.001973451,0.062453441
E01005011,0.152110803,0.093870468,0.245091147,0.004695096,0.134740798
E01005012,0.099709619,0.058334863,0.160664708,0.002517016,0.089919452
E01005013,0.096944752,0.007337301,0.205643063,0.006675919,0.087399322
E01005014,0.071475244,0.031046904,0.131583278,0.001880318,0.061635396
E01005015,0.083743998,0.044703841,0.147857629,0.002058093,0.071207261
E01005016,0.087751596,0.036615602,0.177906872,0.00405101,0.068241955
E01005017,0.135925932,0.07870469,0.224947686,0.004469818,0.120025676
E01005018,0.188877905,0.038078947,0.333869256,0.018790262,0.191781709
E01005019,0.118881345,0.078599201,0.155498613,0.001725778,0.120713783
E01005020,0.159256308,0.080882261,0.200169541,0.003062305,0.177986714
E01005021,0.942072866,0.39863156,1.460196411,0.249061018,0.954731746
