LSOA21CD,MEAN_NEAR_DIST,MIN_NEAR_DIST,MAX_NEAR_DIST,MEDIAN_NEAR_DIST,VARIANCE_NEAR_DIST
E01005927,1.314196127,1.115167236,1.421599803,1.360008734,0.020880049
E01005928,1.016338824,0.835672341,1.102171043,1.063755956,0.014854275
E01005929,0.860030134,0.684445746,1.035223076,0.860225857,0.02355542
E01005930,0.71349025,0.666121405,0.788127421,0.699856086,0.003341232
E01005931,0.59600248,0.422136807,0.883780182,0.539046465,0.043137648
E01005932,0.689976206,0.563245905,0.83921285,0.678723035,0.02158337
E01005933,1.122358595,1.033588994,1.22511115,1.115367119,0.006413626
E01005934,0.885047689,0.729585032,0.940912316,0.934846703,0.010752974
E01005935,0.882043456,0.731786553,1.246691286,0.774847993,0.059593343
E01005936,1.934760328,1.79856111,2.123523744,1.908478229,0.022364923
E01005937,1.617340091,1.432257735,1.910120227,1.563491201,0.041995326
E01005938,1.439686171,0.806711221,2.036060797,1.457986333,0.292457131
E01005939,1.9683487,1.74024521,2.121149389,2.0060001,0.029232815
E01005940,1.465764341,1.266768655,1.608110991,1.494088859,0.020609797
E01005941,0.483775337,0.248145771,0.67641073,0.505272424,0.032145804
E01005942,0.83602995,0.68694543,1.011552691,0.822810839,0.029627952
E01005943,0.760763356,0.62938766,0.972742296,0.720461734,0.022053354
E01005944,1.014170533,0.796106585,1.257816546,1.001379501,0.059519116
E01005945,1.456548884,1.158803647,1.694083068,1.48665441,0.048975919
E01005946,0.792914136,0.664390318,1.097490831,0.704887697,0.042001974
E01005947,0.776794757,0.71199218,0.907496677,0.743845086,0.008396487
E01005948,0.162103228,0.101951349,0.213322417,0.166569572,0.002628779
E01005949,0.295891052,0.160491882,0.505120363,0.258975982,0.027627257
E01005950,0.40603612,0.111063391,0.830351948,0.341364571,0.092487374
E01005951,0.334213747,0.165390357,0.442088607,0.364688012,0.014598055
E01005953,0.614505309,0.529700743,0.703577379,0.612371558,0.005571208
E01005954,1.375739415,1.276504053,1.497305551,1.364574029,0.008299075
E01005955,1.374670986,0.977311315,1.632060195,1.444656218,0.082726055
E01005956,0.945625065,0.79781876,1.06659211,0.959044696,0.013992735
E01005957,0.737608777,0.642133297,0.822268864,0.743016473,0.006666788
E01005958,0.877819549,0.771546806,1.121509358,0.809111017,0.027452142
E01005959,0.280145003,0.217244032,0.42960391,0.236866035,0.010071837
E01005960,0.396626016,0.219645113,0.601793249,0.382532851,0.026986976
E01005961,0.548207361,0.254647544,0.814546352,0.561817774,0.055829557
E01005962,0.137946464,0.06090059,0.301575233,0.094655016,0.012299969
E01005963,0.223089418,0.110307259,0.341332375,0.220359019,0.009716752
E01005964,0.599547997,0.487872106,0.837175664,0.536572109,0.026932255
E01005965,0.452839847,0.2906703,0.72465121,0.398018939,0.038005959
E01005966,0.82861648,0.713136483,0.98696957,0.807179934,0.016446783
E01005967,0.619297863,0.441880861,0.756904005,0.639203292,0.021100119
E01005968,0.341004936,0.227173509,0.422733016,0.357056608,0.007684702
E01005969,0.333607601,0.206549738,0.436681374,0.345599645,0.013015516
E01005970,1.235993334,1.149725253,1.294931778,1.249658153,0.003784487
E01005971,0.30262247,0.123550149,0.648888164,0.219025782,0.061148939
E01005972,1.209866381,1.057569774,1.361512814,1.210191468,0.020769733
E01005973,0.951163531,0.782432361,1.104795315,0.958713225,0.026496671
E01005974,0.918010801,0.661918933,1.039586871,0.985268701,0.029822597
E01005975,1.254011016,1.209528935,1.276521025,1.264997052,0.000910383
E01005976,1.275860452,1.19303608,1.406294345,1.252055691,0.008452654
E01005977,1.272581473,1.080062013,1.507087401,1.251588238,0.046565025
E01005978,0.600471825,0.365817987,1.042886648,0.496591333,0.099830395
E01005979,0.975907662,0.767411356,1.282878743,0.926670274,0.049130314
E01005980,1.296247184,1.129278722,1.368029815,1.343840099,0.01252095
E01005981,1.557036994,1.444417157,1.667675295,1.558027761,0.010040722
E01005982,1.269482141,1.15643564,1.339696903,1.290898011,0.00637171
E01005983,0.920471912,0.761240043,1.045852832,0.937397387,0.013886222
E01005984,1.164475316,1.037843514,1.282828272,1.168614738,0.011795052
E01005985,0.427086123,0.190564206,0.732981209,0.392399539,0.050678371
E01005986,0.854972815,0.769040421,0.937093029,0.856878904,0.007979685
E01005987,0.584649486,0.438467791,0.860509907,0.519810123,0.037755972
E01005988,0.370929103,0.318340209,0.431369726,0.367003239,0.002341925
E01005989,0.851405378,0.760678384,0.937681097,0.853631017,0.00911902
E01005990,0.765590056,0.679493878,0.882464173,0.750201087,0.010292501
E01005991,0.682161975,0.507755672,0.928365598,0.646263314,0.031213552
